Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Change Opening,$ Change Close,Star Ratings,Performed
2007/7/18,MF Global ,MF,Citi/JPMorgan/Lehman Brothers/Merrill Lynch/UBS Investment Bank,$30.00 ,$29.37 ,$27.55 ,-8.17%,($0.63),($2.45),1,
2007/7/18,Netezza ,NZ,Credit Suisse/Morgan Stanley,$12.00 ,$15.00 ,$17.39 ,44.92%,$3.00 ,$5.39 ,3,
2007/7/18,Limco-Piedmont ,LIMC,Oppenhemier/Stifel Nicolaus,$11.00 ,$12.50 ,$13.30 ,20.91%,$1.50 ,$2.30 ,1,
2007/7/19,KBL Healthcare Acquisition ,KHA-U,Citigroup,$8.00 ,$8.10 ,$8.19 ,2.37%,$0.10 ,$0.19 ,1,
2007/7/19,Orbitz Worldwide ,OWW,Morgan Stanley/Goldman Sachs/Lehman Brothers/JPMorgan,$15.00 ,$14.90 ,$14.50 ,-3.33%,($0.10),($0.50),1,
2007/7/19,Airvana ,AIRV,Morgan Stanley/Lehman Brothers,$7.00 ,$7.00 ,$7.17 ,2.43%,$0.00 ,$0.17 ,1,
2007/7/19,hhgregg ,HGG,Credit Suisse/Lehman Brothers,$13.00 ,$13.72 ,$14.55 ,11.92%,$0.72 ,$1.55 ,1,
2007/7/24,Monotype Imaging Holdings ,TYPE,Banc of America,$12.00 ,$12.00 ,$12.05 ,0.42%,$0.00 ,$0.05 ,1,
2007/7/24,Rex Energy ,REXX,KeyBanc Capital Markets,$11.00 ,$11.00 ,$10.13 ,-7.91%,$0.00 ,($0.87),1,
2007/7/24,"Validus Holdings, Ltd. ",VR,Goldman Sachs/Merrill Lynch,$22.00 ,$22.00 ,$22.25 ,1.14%,$0.00 ,$0.25 ,1,
2007/7/24,BladeLogic ,BLOG,Morgan Stanley/Merrill Lnych,$17.00 ,$24.25 ,$25.07 ,47.47%,$7.25 ,$8.07 ,3,
2007/7/25,ImaRx Therapeuctis ,IMRX,Maxim Group/I-Bankers Securities,$5.00 ,$4.90 ,$4.79 ,-4.20%,($0.10),($0.21),1,
2007/7/25,Voltaire Ltd. ,VOLT,JPMorgan/Merrill Lhnch,$9.00 ,$9.00 ,$8.33 ,-7.44%,$0.00 ,($0.67),1,
2007/7/25,Perfect World ,PWRD,Morgan Stanley/Credit Suisse,$16.00 ,$17.50 ,$20.40 ,27.50%,$1.50 ,$4.40 ,3,
2007/7/26,lululemon athletica ,LULU,Goldman Sachs/Merrill Lynch,$18.00 ,$25.00 ,$28.00 ,55.56%,$7.00 ,$10.00 ,3,
2007/8/1,Alternative Asset Management Acquisition ,AMV-U,Citi,$10.00 ,$10.25 ,$10.10 ,1.00%,$0.25 ,$0.10 ,1,
2007/8/1,Genpact Limited ,G,Morgan Stanley/Citi/JPMorgan,$14.00 ,$14.00 ,$16.75 ,19.64%,$0.00 ,$2.75 ,1,
2007/8/1,Dolan Media ,DM,Goldman Sachs/Merrill Lynch,$14.50 ,$16.40 ,$17.72 ,22.21%,$1.90 ,$3.22 ,2,
2007/8/2,Sucampo Pharmaceuticals ,SCMP,Cowen,$11.50 ,$11.50 ,$12.26 ,6.61%,$0.00 ,$0.76 ,1,
2007/8/2,Virtusa ,VRTU,JPMorgan,$14.00 ,$13.50 ,$11.86 ,-15.29%,($0.50),($2.14),1,
2007/8/2,Concho Resources ,CXO,JPMorgan/Banc of America/Lehman Brothers,$11.50 ,$11.61 ,$12.90 ,12.17%,$0.11 ,$1.40 ,1,
2007/8/6,Quicksilver Gas Services LP ,KGS,UBS Investment Bank/Goldman Sachs,$21.00 ,$21.99 ,$21.00 ,0.00%,$0.99 ,$0.00 ,2,
2007/8/7,HireRight ,HIRE,Credit Suisse,$15.00 ,$15.10 ,$14.73 ,-1.80%,$0.10 ,($0.27),2,Missed
2007/8/7,E-House (China) Holdings ,EJ,Credit Suisse/Merrill Lynch,$13.80 ,$18.12 ,$19.43 ,40.80%,$4.32 ,$5.63 ,3,
2007/8/7,Masimo ,MASI,Piper Jafftay/Deutsche Bank/Citi,$17.00 ,$19.00 ,$20.90 ,22.94%,$2.00 ,$3.90 ,2,
2007/8/8,DemandTec ,DMAN,Morgan Stanley/Credit Suisse,$11.00 ,$10.05 ,$9.45 ,-14.09%,($0.95),($1.55),2,Missed
2007/8/8,WuXi Pharma Tech (China) ,WX,Credit Suisse/JPMorgan,$14.00 ,$18.50 ,$19.60 ,40.00%,$4.50 ,$5.60 ,3,
2007/8/9,Paragon Shipping ,PRGN,UBS Investment Bank/Morgan Stanley,$16.00 ,$15.50 ,$14.25 ,-10.94%,($0.50),($1.75),1,
2007/8/9,Horsehead Holdings ,ZINC,Friedman Billings Ramsey,$18.00 ,$18.00 ,$18.60 ,3.33%,$0.00 ,$0.60 ,1,
2007/8/9,MercadoLibre ,MELI,JPMorgan/Merrill Lynch,$18.00 ,$22.00 ,$28.50 ,58.33%,$4.00 ,$10.50 ,3,
2007/8/13,VMware ,VMW,Citi/JPMorgan/Lehman Brothers,$29.00 ,$52.00 ,$51.00 ,75.86%,$23.00 ,$22.00 ,4,
2007/9/4,InterAmerican Acquisition Group ,IAQGU,Chardan Capital Markets/Maxim Group,$8.00 ,$8.02 ,$8.01 ,0.12%,$0.02 ,$0.01 ,1,
2007/9/11,Encore Energy Partners ,ENP,UBS Investment Bank/Lehman Brothers,$21.00 ,$21.00 ,$21.03 ,0.14%,$0.00 ,$0.03 ,2,Missed
2007/9/18,athenahealth ,ATHN,Goldman Sachs/Merrill Lynch,$18.00 ,$30.00 ,$35.50 ,97.22%,$12.00 ,$17.50 ,3,
2007/9/24,Seanergy Maritime ,SRG-U,Maxim Group,$10.00 ,$10.30 ,$10.36 ,3.60%,$0.30 ,$0.36 ,1,
2007/9/26,Babcock & Brown Air Limited ,FLY,Morgan Stanley/Citi/Merrill Lynch/Credit Suisse,$23.00 ,$23.00 ,$22.73 ,-1.17%,$0.00 ,($0.27),2,Missed
2007/9/27,Hicks Acquisition Company ,TOH-U,Citi,$10.00 ,$10.00 ,$9.95 ,-0.50%,$0.00 ,($0.05),1,
2007/9/27,Duff & Phelps ,DUF,Goldman Sachs/UBS Investment Bank,$16.00 ,$17.00 ,$18.35 ,14.69%,$1.00 ,$2.35 ,1,
2007/10/2,Inter-Atlantic Financial ,IAN-U,Morgan Joseph,$8.00 ,$8.00 ,$8.08 ,1.00%,$0.00 ,$0.08 ,1,
2007/10/2,Constant Contact ,CTCT,CIBC World Markets/Thomas Weisel Partners,$16.00 ,$26.00 ,$27.64 ,72.75%,$10.00 ,$11.64 ,2,
2007/10/3,Highlands Acquisition ,HIA-U,Citi,$10.00 ,$10.20 ,$10.00 ,0.00%,$0.20 ,$0.00 ,1,
2007/10/4,FMG Acquisition ,FMGQ-U,Pali Capital/Maxim Group,$8.00 ,$8.00 ,$8.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/10/4,MAP Pharmaceuticals ,MAPP,Merrill Lynch/Morgan Stanley,$12.00 ,$12.75 ,$13.35 ,11.25%,$0.75 ,$1.35 ,1,
2007/10/4,"China Digital TV Holding Cp., Ltd. ",STV,Morgan Stanley/Credit Suisse,$16.00 ,$35.00 ,$28.00 ,75.00%,$19.00 ,$12.00 ,3,
2007/10/9,Targanta Therapeutics ,TARG,Credit Suisse,$10.00 ,$10.00 ,$9.40 ,-6.00%,$0.00 ,($0.60),1,
2007/10/9,Textainer Group Holdings Limited ,TGH,Credit Suisse/Wachovia,$16.50 ,$16.65 ,$17.00 ,3.03%,$0.15 ,$0.50 ,1,
2007/10/9,Compellent ,CML,Morgan Stanley,$13.50 ,$24.00 ,$24.19 ,79.19%,$10.50 ,$10.69 ,3,
2007/10/10,Virgin Mobile USA ,VM,Lehman Brothers,$15.00 ,$15.60 ,$15.75 ,5.00%,$0.60 ,$0.75 ,3,Missed
2007/10/10,SP Acquisition ,DSP-U,UBS Investment Bank/Ladenburg Thalmann,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/10/15,Stone Tan China Acquisition,STTAU,Morgan Joseph,$8.00 ,$7.90 ,$8.00 ,0.00%,($0.10),$0.00 ,1,
2007/10/16,TranS1 ,TSON,Lehman Brothers/Piper Jaffray,$15.00 ,$25.00 ,$24.00 ,60.00%,$10.00 ,$9.00 ,2,
2007/10/17,TM Entertainment and Media ,THI.U,Pali/Maxim Group,$8.00 ,$7.96 ,$7.95 ,-0.62%,($0.04),($0.05),1,
2007/10/17,Global BPO Services,OOO-U,Deutsche Bank,$8.00 ,$7.95 ,$8.00 ,0.00%,($0.05),$0.00 ,1,
2007/10/17,NRDC Acquisition ,NAQ-U,Banc of America,$10.00 ,$10.00 ,$10.01 ,0.10%,$0.00 ,$0.01 ,1,
2007/10/18,Maxcom Telecommunications ,MXT,Morgan Stanley,$17.50 ,$19.00 ,$18.59 ,6.23%,$1.50 ,$1.09 ,3,
2007/10/18,DuPont Fabros Technology ,DFT,Lehman Brothers/UBS Investment Bank,$21.00 ,$21.50 ,$22.71 ,8.14%,$0.50 ,$1.71 ,2,
2007/10/18,Noah Education Holdings ,NED,Deutsche Bank,$14.00 ,$22.90 ,$19.85 ,41.79%,$8.90 ,$5.85 ,3,
2007/10/22,Triplecrown Acquisition ,TCW-U,Citi,$10.00 ,$10.03 ,$10.11 ,1.10%,$0.03 ,$0.11 ,1,
2007/10/22,Fuqi International ,FUQI,Merriman Curhan Ford,$9.00 ,$10.00 ,$10.47 ,16.33%,$1.00 ,$1.47 ,3,
2007/10/22,CVR Energy ,CVI,Goldman Sachs/Deutsche Bank,$19.00 ,$21.05 ,$20.25 ,6.58%,$2.05 ,$1.25 ,2,
2007/10/23,Vanguard Natural Resources ,VNR,Citi,$19.00 ,$19.00 ,$18.94 ,-0.32%,$0.00 ,($0.06),1,
2007/10/23,Longtop Financial Technologies ,LFT,Goldman Sachs/Deutsche Bank,$17.50 ,$27.01 ,$32.40 ,85.14%,$9.51 ,$14.90 ,3,
2007/10/24,Secure America Acquisition ,HLD-U,SunTrust Robinson/Morgan Joseph,$8.00 ,$8.00 ,$7.91 ,-1.13%,$0.00 ,($0.09),1,
2007/10/24,FGX International Holdings ,FGXI,William Blair/Sun Trust Robinson Humphrey,$16.00 ,$18.00 ,$17.05 ,6.56%,$2.00 ,$1.05 ,2,
2007/10/24,Pzena Investment Management ,PZN,Goldman Sachs/UBS Investment Bank,$18.00 ,$20.71 ,$20.09 ,11.61%,$2.71 ,$2.09 ,2,
2007/10/24,ULTA Salon Cosmetics & Fragrance ,ULTA,JPMorgan/Wachovia,$18.00 ,$33.00 ,$29.82 ,65.67%,$15.00 ,$11.82 ,3,
2007/10/25,Power Medical Interventions ,PMII,Jefferies/Lazard Capital Markets,$11.00 ,$11.50 ,$11.79 ,7.18%,$0.50 ,$0.79 ,1,
2007/10/29,Genoptix,GXDX,Lehman Brothers,$17.00 ,$25.00 ,$25.35 ,49.12%,$8.00 ,$8.35 ,3,
2007/10/30,012 Smile.communications ,SMLC,CIBC World Markets/Cowen,$12.00 ,$12.00 ,$12.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/10/30,CNinsure ,CISG,Morgan Stanley,$16.00 ,$25.00 ,$25.29 ,58.06%,$9.00 ,$9.29 ,3,
2007/10/31,Giant Interactive Group ,GA,Merrill Lynch/UBS Investment Bank,$15.50 ,$18.25 ,$18.23 ,17.61%,$2.75 ,$2.73 ,3,
2007/11/1,Deltek ,PROJ,Credit Suisse,$18.00 ,$18.00 ,$17.95 ,-0.28%,$0.00 ,($0.05),3,Missed
2007/11/1,SoundBite Communications ,SDBT,Cowen/Thomas Weisel Partners,$8.00 ,$8.00 ,$8.02 ,0.25%,$0.00 ,$0.02 ,1,
2007/11/1,Nanosphere ,NSHP,Credit Suisse,$14.00 ,$14.00 ,$16.00 ,14.29%,$0.00 ,$2.00 ,1,
2007/11/1,Neutral Tandem ,TNDM,Morgan Stanley/CIBC World Markets,$14.00 ,$18.00 ,$20.28 ,44.86%,$4.00 ,$6.28 ,3,
2007/11/5,SandRidge Energy ,SD,Lehman Brothers,$26.00 ,$30.94 ,$32.00 ,23.08%,$4.94 ,$6.00 ,2,
2007/11/6,Agria ,GRO,Credit Suisse,$16.50 ,$16.50 ,$12.06 ,-26.91%,$0.00 ,($4.44),3,Missed
2007/11/6,Golden Pond Healthcare ,GPH-U,Deutsche Bank,$8.00 ,$8.00 ,$8.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/11/6,ARYx Therapeutics ,ARYX,Morgan Stanley,$10.00 ,$9.00 ,$8.10 ,-19.00%,($1.00),($1.90),1,
2007/11/6,BioForm Medical ,BFRM,JPMorgan/Piper Jaffray,$8.00 ,$8.00 ,$8.55 ,6.88%,$0.00 ,$0.55 ,1,
2007/11/6,AirMedia Group ,AMCN,Morgan Stanley/Lehman Brothers,$15.00 ,$19.50 ,$20.90 ,39.33%,$4.50 ,$5.90 ,3,
2007/11/7,Capitol Acquisition,CLU.U,Citi,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/11/7,Enterprise Acquisition ,EST-U,UBS Investment Bank/Ladenburg Thalmann,$10.00 ,$10.00 ,$9.99 ,-0.10%,$0.00 ,($0.01),1,
2007/11/7,ICx  Technologies ,ICXT,Lehman Brothers,$16.00 ,$14.00 ,$12.85 ,-19.69%,($2.00),($3.15),1,
2007/11/7,Approach Resources ,AREX,JPMorgan,$12.00 ,$12.50 ,$12.59 ,4.92%,$0.50 ,$0.59 ,1,
2007/11/8,Lumber Liquidators ,LL,Goldman Sachs/Merrill Lynch,$10.00 ,$9.89 ,$9.76 ,-2.40%,($0.11),($0.24),1,
2007/11/8,Quest Energy Partners L.P. ,QELP,Wachovia/RBC Capital Markets,$18.00 ,$17.00 ,$16.50 ,-8.33%,($1.00),($1.50),1,
2007/11/8,The Ensign Group ,ENSG,D.A. Davidson/Stifel Nicolas,$16.00 ,$15.60 ,$16.14 ,0.88%,($0.40),$0.14 ,1,
2007/11/8,OSG America ,OSP,Citi/UBS Investment Bank,$19.00 ,$19.00 ,$18.85 ,-0.79%,$0.00 ,($0.15),1,
2007/11/8,China Nepstar Chain Drugstore Ltd. ,NPD,Goldman Sachs (Asia)/ Merrill Lynch,$16.20 ,$16.20 ,$17.50 ,8.02%,$0.00 ,$1.30 ,3,
2007/11/8,American Public Education ,APEI,William Blair/Piper Jaffray,$20.00 ,$30.00 ,$35.92 ,79.60%,$10.00 ,$15.92 ,3,
2007/11/9,2020 ChinaCap Aquirco ,TTY-U,Morgan Joseph,$8.00 ,$8.02 ,$8.15 ,1.88%,$0.02 ,$0.15 ,1,
2007/11/12,Navios Maritime Partners L.P. ,NMM,Merrill Lynch/JPMorgan,$20.00 ,$19.25 ,$19.25 ,-3.75%,($0.75),($0.75),2,Missed
2007/11/12,Heckman ,HEK-U,Credit Suisse/Roth Capital Management,$8.00 ,$8.03 ,$8.00 ,0.00%,$0.03 ,$0.00 ,1,
2007/11/13,Och-Ziff Capital Management Group LLC ,OZM,Goldman Sachs/Lehman Brothers,$32.00 ,$32.75 ,$30.65 ,-4.22%,$0.75 ,($1.35),2,
2007/11/14,EnergySolutions ,ES,Credit Suisse/JPMorgan/Morgan Stanley,$23.00 ,$23.00 ,$23.01 ,0.04%,$0.00 ,$0.01 ,3,Missed
2007/11/14,Prospect Acquisition ,PAX-U,Citi,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/11/14,EnteroMedics ,ETRM,JPMorgan/Morgan Stanley,$8.00 ,$8.00 ,$8.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/11/14,Virtual Radiologic ,VRAD,Goldman Sachs,$17.00 ,$19.00 ,$20.75 ,22.06%,$2.00 ,$3.75 ,3,
2007/11/14,MSCI ,MXB,Morgan Stanley,$18.00 ,$23.00 ,$24.97 ,38.72%,$5.00 ,$6.97 ,3,
2007/11/15,Chimera Investment ,CIM,Merrill Lynch/Credit Suisse/Deutsche Bank,$15.00 ,$15.00 ,$14.90 ,-0.67%,$0.00 ,($0.10),1,
2007/11/15,3PAR ,PAR,Goldman Sachs/Credit Suisse,$14.00 ,$16.50 ,$15.75 ,12.50%,$2.50 ,$1.75 ,3,
2007/11/15,Rubicon Technology ,RBCN,UBS Investment Bank,$14.00 ,$14.00 ,$17.50 ,25.00%,$0.00 ,$3.50 ,2,
2007/11/15,El Paso Pipeline Partners ,EPB,Lehman Brothers/Citi/Goldman Sachs/UBS Investment Bank,$20.00 ,$20.50 ,$20.90 ,4.50%,$0.50 ,$0.90 ,1,
2007/11/16,Internet Brands ,INET,Thomas Weisel Partners/Jefferies,$8.00 ,$8.00 ,$8.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/11/19,Ideation Acquisition ,IDI-U,Lazard Capital Markets,$8.00 ,$8.00 ,$8.01 ,0.12%,$0.00 ,$0.01 ,1,
2007/11/19,SuccessFactors ,SFSF,Morgan Stanley/Goldman Sachs,$10.00 ,$13.00 ,$13.25 ,32.50%,$3.00 ,$3.25 ,2,
2007/11/20,Global Consumer Acquisition,GHC-U,Deutsche Bank,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/11/29,Camden Learning ,CAELU,Morgan Joseph,$8.00 ,$8.05 ,$8.01 ,0.12%,$0.05 ,$0.01 ,1,
2007/12/3,North Shore Acquisition ,NSAQU,EarlyBirdCapital,$8.00 ,$8.00 ,$7.90 ,-1.25%,$0.00 ,($0.10),1,
2007/12/5,WSP Holdings ,WH,JPMorgan,$8.50 ,$8.51 ,$8.54 ,0.47%,$0.01 ,$0.04 ,1,
2007/12/5,VisionChina Media ,VISN,Credit Suisse/ Merrrill Lynch,$8.00 ,$8.00 ,$8.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/12/5,Titan Machinery ,TITN,Craig-Hallum Capital/Robert W. Baird,$8.50 ,$9.62 ,$9.48 ,11.53%,$1.12 ,$0.98 ,2,
2007/12/6,Entropic Communications ,ENTR,Credit Suisse/Lehman Brothers,$6.00 ,$7.01 ,$7.40 ,23.33%,$1.01 ,$1.40 ,1,Missed
2007/12/6,Tremisis Energy Acquisition Corpation II ,TGY-U,Merrill Lynch/EarlyBirdCapital,$8.00 ,$8.05 ,$8.01 ,0.12%,$0.05 ,$0.01 ,1,
2007/12/6,Global Brands Acquisition,GQN-U,Citi,$10.00 ,$10.01 ,$10.00 ,0.00%,$0.01 ,$0.00 ,1,
2007/12/6,Liberty Acquisition Holdings ,LIA-U,Citi,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2007/12/6,Triple-S Management  ,GTS,Credit Suisse/UBS Investment Bank,$14.50 ,$14.80 ,$15.15 ,4.48%,$0.30 ,$0.65 ,1,
2007/12/10,ChinaEdu ,CEDU,Bear Stearns,$10.00 ,$10.00 ,$7.97 ,-20.30%,$0.00 ,($2.03),1,
2007/12/10,CardTronics ,CATM,Deutsche Bank/William Blair/Banc of America,$10.00 ,$9.65 ,$9.50 ,-5.00%,($0.35),($0.50),1,
2007/12/11,United Refining Energy ,URX-U,Deutsche Bank/Maxim Group,$10.00 ,$9.50 ,$9.96 ,-0.40%,($0.50),($0.04),1,
2007/12/11,Xinyuan Real Estate ,XIN,Merrill Lynch,$14.00 ,$16.50 ,$16.80 ,20.00%,$2.50 ,$2.80 ,2,
2007/12/11,VanceInfo Technologies ,VIT,Citi/Merrill Lynch,$8.50 ,$9.50 ,$9.96 ,17.18%,$1.00 ,$1.46 ,2,
2007/12/12,Teekay Tankers ,TNK,Citi/Morgan Stanley,$19.50 ,$19.75 ,$20.01 ,2.62%,$0.25 ,$0.51 ,1,
2007/12/12,K12 ,LRN,Morgan Stanley/Credit Suisse,$18.00 ,$19.75 ,$24.55 ,36.39%,$1.75 ,$6.55 ,3,
2007/12/12,MedAssets ,MDAS,Morgan Stanley/Lehman Brothers,$16.00 ,$19.75 ,$20.50 ,28.13%,$3.75 ,$4.50 ,3,
2007/12/13,Gulfstream International Group,GIA,Taglich Brothers,$8.00 ,$7.50 ,$7.40 ,-7.50%,($0.50),($0.60),1,
2007/12/13,MEMSIC,MEMS,Citi,$10.00 ,$10.00 ,$10.25 ,2.50%,$0.00 ,$0.25 ,1,
2007/12/13,Intellon ,ITLN,Deutsche Bank,$6.00 ,$7.50 ,$6.75 ,12.50%,$1.50 ,$0.75 ,1,
2007/12/18,Gushan Environmental Energy ,GU,Merrill Lynch,$9.60 ,$9.61 ,$9.73 ,1.35%,$0.01 ,$0.13 ,2,Missed
2007/12/18,Orion Energy Systems ,OESX,Thomas Weisel Partners,$13.00 ,$17.25 ,$21.41 ,64.69%,$4.25 ,$8.41 ,2,
2007/12/19,NetSuite ,N,Credit Suisse,$26.00 ,$26.00 ,$35.50 ,36.54%,$0.00 ,$9.50 ,3,
2006/1/12,Linn Energy LLC ,LINE,RBC Capital Markets/Lehman Brothers,$21.00 ,$25.10 ,$22.00 ,4.76%,$4.10 ,$1.00 ,2,
2006/1/18,Western Refining,WNR,Banc of America/Deutsche Bank,$17.00 ,$19.00 ,$18.59 ,9.35%,$2.00 ,$1.59 ,3,
2006/1/19,American Railcar Industries ,ARII,UBS Investment Bank/Bear Stearns,$21.00 ,$23.07 ,$22.96 ,9.33%,$2.07 ,$1.96 ,3,
2006/1/24,Argyle Security Acquisition ,ARGLU,Rodman & Renshaw/I-Bankers,$8.00 ,$8.00 ,$7.95 ,-0.62%,$0.00 ,($0.05),1,
2006/1/25,Calumet Specialty Products Partners L.P. ,CLMT,Goldman Sachs,$21.50 ,$22.02 ,$21.75 ,1.16%,$0.52 ,$0.25 ,3,Missed
2006/1/25,Highbury Financial ,HBRYU,ThinkEquity Partners/EarlyBirdCapital,$6.00 ,$6.00 ,$6.00 ,0.00%,$0.00 ,$0.00 ,1,
2006/1/25,Altus Pharmaceuticals ,ALTU,Merrill Lynch/Morgan Stanley,$15.00 ,$15.26 ,$16.82 ,12.13%,$0.26 ,$1.82 ,2,
2006/1/25,Traffic.com,TRFC,W.R. Hambrecht+Co.,$12.00 ,$12.11 ,$12.15 ,1.25%,$0.11 ,$0.15 ,1,
2006/1/25,Chipotle Mexican Grill ,CMG,Morgan Stanley/SG Cowen,$22.00 ,$45.00 ,$44.00 ,100.00%,$23.00 ,$22.00 ,3,
2006/1/30,IncrediMAIL Ltd. ,MAIL,Maxim Group,$7.50 ,$9.21 ,$8.51 ,13.47%,$1.71 ,$1.01 ,1,Missed
2006/1/30,Regency Energy Partners L.P. ,RGNC,UBS Investment Bank/Lehman Brothers,$20.00 ,$20.01 ,$19.81 ,-0.95%,$0.01 ,($0.19),2,Missed
2006/1/30,H&E Equipment Services ,HEES,Credit Suisse/UBS Investment Bank,$18.00 ,$20.31 ,$23.10 ,28.33%,$2.31 ,$5.10 ,2,
2006/1/31,FortuNet ,FNET,W.R. Hambrecht + Co,$9.00 ,$9.15 ,$9.05 ,0.56%,$0.15 ,$0.05 ,1,
2006/1/31,Koppers Holdings ,KOP,Credit Suisse/UBS Investment Bank,$14.00 ,$14.60 ,$15.75 ,12.50%,$0.60 ,$1.75 ,2,
2006/1/31,SGX Pharmaceuticals ,SGXP,CIBC World Markets/Piper Jaffray,$6.00 ,$6.05 ,$6.00 ,0.00%,$0.05 ,$0.00 ,1,
2006/1/31,Ternium S.A. ,TX,Citigroup,$20.00 ,$23.05 ,$23.37 ,16.85%,$3.05 ,$3.37 ,2,
2006/2/1,Digital Music Group ,DMGI,I-Bankers Securities/FTN Midwest Securities,$9.75 ,$9.75 ,$9.25 ,-5.13%,$0.00 ,($0.50),2,Missed
2006/2/1,Iomai ,IOMI,UBS Investment Bank/SG Cowen,$7.00 ,$7.25 ,$6.80 ,-2.86%,$0.25 ,($0.20),1,
2006/2/1,Valera Pharmaceuticals ,VLRX,UBS Investment Bank/Banc of America,$9.00 ,$9.15 ,$9.93 ,10.33%,$0.15 ,$0.93 ,1,
2006/2/1,Thomas Weisel Partners Group ,TWPG,Thomas Weisel Partners/Keefe Bruyette & Woods,$15.00 ,$19.00 ,$19.90 ,32.67%,$4.00 ,$4.90 ,2,
2006/2/2,Cardica ,CRDC,A.G. Edwards/Allen & Co.,$10.00 ,$10.19 ,$10.35 ,3.50%,$0.19 ,$0.35 ,1,
2006/2/2,Energy Transfer Equity L.P. ,ETE,UBS Investment Bank/Wachovia/ Credit Suisse,$21.00 ,$23.00 ,$22.65 ,7.86%,$2.00 ,$1.65 ,3,
2006/2/2,HealthSpring ,HS,Goldman Sachs/Citigroup/UBS Investment Bank,$19.50 ,$22.25 ,$21.98 ,12.72%,$2.75 ,$2.48 ,3,
2006/2/2,SMART Modular Technologies ,SMOD,Citigroup/JP Morgan/Lehman Brothers,$9.00 ,$9.00 ,$8.54 ,-5.11%,$0.00 ,($0.46),1,
2006/2/6,Resource Capital ,RSO,Credit Suisse First Boston/Friedman Billings Ramsey/Citigroup/JP Morgan,$15.00 ,$14.50 ,$14.00 ,-6.67%,($0.50),($1.00),1,
2006/2/7,Crocs ,CROX,Piper Jaffray/Thomas Weisels Partners,$21.00 ,$30.00 ,$28.55 ,35.95%,$9.00 ,$7.55 ,3,
2006/2/8,EXCO Resources ,XCO,JP Morgan/Bear Stearns/Goldman Sachs/AG Edwards,$13.00 ,$13.20 ,$13.05 ,0.38%,$0.20 ,$0.05 ,2,Missed
2006/2/8,Morton's Restaurant Group ,MRT,Wachovia,$17.00 ,$20.00 ,$17.90 ,5.29%,$3.00 ,$0.90 ,3,
2006/2/8,NTELOS Holdings ,NTLS,Lehman Brothers/Bear Stearns,$12.00 ,$12.10 ,$11.95 ,-0.42%,$0.10 ,($0.05),1,
2006/2/8,NightHawk Radiology Holdings ,NHWK,Morgan Stanley,$16.00 ,$18.75 ,$20.65 ,29.06%,$2.75 ,$4.65 ,2,
2006/2/9,AmComp ,AMCP,Friedman Billings Ramsey,$9.00 ,$9.02 ,$9.00 ,0.00%,$0.02 ,$0.00 ,2,Missed
2006/2/9,Acorda Therapeutics ,ACOR,Banc of America,$6.00 ,$6.17 ,$6.72 ,12.00%,$0.17 ,$0.72 ,1,
2006/2/9,Magellan Midstream Holdings ,MGG,Citigroup/Lehman Brothers/Goldman Sachs/Wachovia,$22.00 ,$24.50 ,$24.00 ,9.09%,$2.50 ,$2.00 ,2,
2006/2/13,Morgans Hotel Group ,MHGC,Morgan Stanley/Merrill Lynch,$20.00 ,$19.65 ,$19.89 ,-0.55%,($0.35),($0.11),2,Missed
2006/2/15,Global Logistics Acquisitions ,GLA.U,BB&T Capital Markets/EarlyBirdCapital,$8.00 ,$8.00 ,$8.11 ,1.37%,$0.00 ,$0.11 ,1,
2006/2/22,Liquidity Services ,LQDT,Friedman Billings Ramsey/RBC Capital Markets,$10.00 ,$10.10 ,$12.29 ,22.90%,$0.10 ,$2.29 ,2,
2006/2/23,Pacific Airport Group ,PAC,Credit Suisse,$21.00 ,$30.00 ,$28.26 ,34.57%,$9.00 ,$7.26 ,2,
2006/2/28,Grubb & Ellis Realty Advisors ,GAV.U,Deutsche Bank,$6.00 ,$6.07 ,$6.10 ,1.67%,$0.07 ,$0.10 ,1,
2006/3/2,India Globalization Capital  ,IGC.U,Ferris Baker Watts/Ladenburg Thalmann,$6.00 ,$6.05 ,$6.35 ,5.83%,$0.05 ,$0.35 ,1,
2006/3/2,Oracle Healthcare Acquisition ,OHAQU,CRT Capital/Ladenberg Thalman,$8.00 ,$8.00 ,$8.50 ,6.25%,$0.00 ,$0.50 ,1,
2006/3/8,Good Harbor Partners Acquisitions ,GHBAU,HCFP/Brenner Securities,$8.50 ,$8.70 ,$9.30 ,9.41%,$0.20 ,$0.80 ,1,
